EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Prudhomme Group of Companies,2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,42,41,1,1,1,,3,3,,1,1,
Prudhomme Group of Companies,2006,National,Canada,,,Overall,Part-Time,26,25,1,2,2,,,,,2,2,
Prudhomme Group of Companies,2006,National,Canada,0,,Supervisors: Crafts and Trades,Part-Time,1,1,,,,,,,,,,
Prudhomme Group of Companies,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Part-Time,2,2,,,,,,,,,,
Prudhomme Group of Companies,2006,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,21,20,1,2,2,,,,,2,2,
Prudhomme Group of Companies,2006,National,Canada,0,,Other Manual Workers,Part-Time,2,2,,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,,,Overall,Full-Time,55,46,9,2,2,,4,3,1,2,2,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Clerical Personnel,Full-Time,7,4,3,1,1,,,,,1,1,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Intermediate Sales and Service Personnel,Full-Time,3,,3,,,,1,,1,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Semi-Skilled Manual Workers,Full-Time,42,41,1,1,1,,3,3,,1,1,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,,,Overall,Part-Time,26,25,1,2,2,,,,,2,2,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Supervisors: Crafts and Trades,Part-Time,1,1,,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Part-Time,2,2,,,,,,,,,,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Semi-Skilled Manual Workers,Part-Time,21,20,1,2,2,,,,,2,2,
Prudhomme Group of Companies,2006,Provincial,Saskatchewan,0,,Other Manual Workers,Part-Time,2,2,,,,,,,,,,
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,,,Overall,Full-Time,46,43,3,,,,,,,6,5,1
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Creekbank Transport a Division of Triangle Freight Services Ltd. (inactive),2006,National,Canada,0,,Clerical Personnel,Full-Time,5,4,1,,,,,,,1,,1
