EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 15,000 - $19,999",3,1,2,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",197,48,149,2,1,1,1,,1,37,10,27
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",60,37,23,1,,1,,,,11,5,6
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",152,77,75,5,3,2,5,3,2,34,19,15
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",248,174,74,4,2,2,7,5,2,42,33,9
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",673,195,478,12,4,8,12,2,10,63,32,31
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",510,236,274,11,5,6,21,9,12,52,29,23
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",81,48,33,,,,3,2,1,15,11,4
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",681,582,99,7,7,,8,6,2,83,71,12
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",550,493,57,8,7,1,26,24,2,52,48,4
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",284,261,23,2,2,,15,15,,22,21,1
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",125,118,7,2,2,,2,2,,6,6,
Jazz Aviation L.P.,2009,Full-Time,National,Canada,4811,Scheduled Air Transportation,"$100,000 and over",657,638,19,7,7,,18,17,1,15,15,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,,,Overall,1533,1081,452,17,11,6,34,26,8,211,151,60
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"Under $15,000",4,4,,2,2,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 15,000 - $19,999",1,1,,,,,,,,,,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",93,21,72,,,,,,,16,2,14
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",14,10,4,,,,,,,3,2,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",58,38,20,,,,2,2,,18,11,7
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",77,53,24,1,,1,3,2,1,20,14,6
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",243,72,171,4,,4,4,1,3,26,12,14
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",149,67,82,2,2,,3,,3,24,16,8
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",24,17,7,,,,2,1,1,8,7,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",268,234,34,2,2,,2,2,,50,44,6
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",179,158,21,3,2,1,6,6,,24,22,2
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",96,88,8,,,,5,5,,11,10,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",57,54,3,,,,1,1,,3,3,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$100,000 and over",270,264,6,3,3,,6,6,,7,7,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,,,Overall,653,471,182,8,7,1,5,3,2,34,20,14
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 20,000 - $24,999",55,12,43,,,,1,,1,13,5,8
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",22,17,5,,,,,,,3,2,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",16,9,7,,,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 35,000 - $37,499",31,24,7,1,1,,2,1,1,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 37,500 - $39,999",116,37,79,3,2,1,,,,6,2,4
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 40,000 - $44,999",48,37,11,,,,,,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 45,000 - $49,999",6,4,2,,,,,,,1,,1
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 50,000 - $59,999",142,121,21,1,1,,1,1,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 60,000 - $69,999",47,42,5,,,,,,,2,2,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 70,000 - $84,999",24,24,,,,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 85,000 - $99,999",45,44,1,2,2,,,,,1,1,
Jazz Aviation L.P.,2009,Full-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$100,000 and over",101,100,1,1,1,,1,1,,,,
